Eureka, California, Average Temperature
198506,54.9,-0.8
198507,56.8,-0.6
198508,56.8,-1.5
198509,55.0,-1.9
198510,52.8,-1.2
198511,44.9,-5.3
198512,46.0,-1.1
198601,52.6,4.9
198602,51.0,2.9
198603,51.3,2.3
198604,49.0,-1.5
198605,52.2,-1.3
198606,57.3,1.6
198607,55.7,-1.7
198608,55.5,-2.8
198609,55.5,-1.4
198610,53.9,-0.1
198611,51.7,1.5
198612,49.6,2.5
198701,47.4,-0.3
198702,49.7,1.6
198703,49.1,0.1
198704,51.5,1.0
198705,54.4,0.9
198706,55.1,-0.6
198707,55.3,-2.1
198708,56.8,-1.5
198709,55.3,-1.6
198710,56.3,2.3
198711,52.6,2.4
198712,48.5,1.4
198801,46.1,-1.6
198802,48.4,0.3
198803,48.0,-1.0
198804,49.2,-1.3
198805,51.6,-1.9
198806,54.1,-1.6
198807,56.7,-0.7
198808,56.2,-2.1
198809,54.2,-2.7
198810,52.9,-1.1
198811,51.0,0.8
198812,45.5,-1.6
198901,43.8,-3.9
198902,43.3,-4.8
198903,49.5,0.5
198904,52.3,1.8
198905,53.6,0.1
198906,55.4,-0.3
198907,57.2,-0.2
198908,57.0,-1.3
198909,54.3,-2.6
198910,52.7,-1.3
198911,50.3,0.1
198912,47.0,-0.1
199001,46.0,-1.7
199002,43.2,-4.9
199003,47.9,-1.1
199004,50.6,0.1
199005,51.8,-1.7
199006,56.0,0.3
199007,57.6,0.2
199008,58.1,-0.2
199009,59.3,2.4
199010,52.0,-2.0
199011,47.5,-2.7
199012,40.6,-6.5
199101,45.5,-2.2
199102,50.5,2.4
199103,45.8,-3.2
199104,48.6,-1.9
199105,49.9,-3.6
199106,51.5,-4.2
199107,55.1,-2.3
199108,57.6,-0.7
199109,55.0,-1.9
199110,53.8,-0.2
199111,49.2,-1.0
199112,46.0,-1.1
199201,48.0,0.3
199202,51.6,3.5
199203,51.9,2.9
199204,54.1,3.6
199205,54.4,0.9
199206,56.1,0.4
199207,58.3,0.9
199208,56.8,-1.5
199209,55.2,-1.7
199210,55.7,1.7
199211,49.4,-0.8
199212,44.6,-2.5
199301,44.1,-3.6
199302,47.2,-0.9
199303,51.1,2.1
199304,51.3,0.8
199305,55.7,2.2
199306,55.7,0.0
199307,55.1,-2.3
199308,57.6,-0.7
199309,53.6,-3.3
199310,54.6,0.6
199311,47.6,-2.6
199312,47.3,0.2
199401,48.2,0.5
199402,46.3,-1.8
199403,48.9,-0.1
199404,50.6,0.1
199405,53.3,-0.2
199406,54.7,-1.0
199407,54.8,-2.6
199408,59.2,0.9
199409,57.3,0.4
199410,52.2,-1.8
199411,43.6,-6.6
199412,45.1,-2.0
199501,51.0,3.3
199502,51.2,3.1
199503,49.0,0.0
199504,49.3,-1.2
199505,52.8,-0.7
199506,54.8,-0.9
199507,58.3,0.9
199508,56.5,-1.8
199509,57.8,0.9
199510,53.6,-0.4
199511,52.7,2.5
199512,50.8,3.7
199601,48.3,0.6
199602,51.1,3.0
199603,49.5,0.5
199604,51.7,1.2
199605,52.4,-1.1
199606,54.3,-1.4
199607,56.1,-1.3
199608,56.8,-1.5
199609,54.6,-2.3
199610,53.2,-0.8
199611,50.0,-0.2
199612,49.6,2.5
199701,47.3,-0.4
199702,46.6,-1.5
199703,48.2,-0.8
199704,50.2,-0.3
199705,56.6,3.1
199706,56.6,0.9
199707,58.3,0.9
199708,60.2,1.9
199709,61.0,4.1
199710,53.9,-0.1
199711,52.1,1.9
199712,46.4,-0.7
199801,50.7,3.0
199802,48.9,0.8
199803,49.0,0.0
199804,49.1,-1.4
199805,52.6,-0.9
199806,55.4,-0.3
199807,56.0,-1.4
199808,57.3,-1.0
199809,55.2,-1.7
199810,52.3,-1.7
199811,48.8,-1.4
199812,44.0,-3.1
199901,46.6,-1.1
199902,45.4,-2.7
199903,46.5,-2.5
199904,48.9,-1.6
199905,50.1,-3.4
199906,53.2,-2.5
199907,54.7,-2.7
199908,58.5,0.2
199909,54.5,-2.4
199910,52.0,-2.0
199911,54.2,4.0
199912,45.6,-1.5
200001,47.9,0.2
200002,51.2,3.1
200003,47.9,-1.1
200004,51.8,1.3
200005,54.8,1.3
200006,56.2,0.5
200007,58.2,0.8
200008,58.6,0.3
200009,58.3,1.4
200010,53.8,-0.2
200011,48.1,-2.1
200012,48.0,0.9
200101,46.5,-1.2
200102,46.5,-1.6
200103,49.7,0.7
200104,48.7,-1.8
200105,53.5,0.0
200106,55.5,-0.2
200107,57.0,-0.4
200108,59.0,0.7
200109,55.7,-1.2
200110,54.0,0.0
200111,51.3,1.1
200112,48.8,1.7
200201,46.2,-1.5
200202,48.6,0.5
200203,46.5,-2.5
200204,51.0,0.5
200205,51.9,-1.6
200206,55.9,0.2
200207,58.2,0.8
200208,56.6,-1.7
200209,56.9,0.0
200210,51.4,-2.6
200211,51.8,1.6
200212,50.2,3.1
200301,53.5,5.8
200302,47.4,-0.7
200303,51.8,2.8
200304,50.2,-0.3
200305,53.7,0.2
200306,56.8,1.1
200307,58.4,1.0
200308,60.7,2.4
200309,57.6,0.7
200310,56.0,2.0
200311,49.4,-0.8
200312,48.6,1.5
200401,49.2,1.5
200402,48.8,0.7
200403,51.1,2.1
200404,52.1,1.6
200405,56.3,2.8
200406,57.6,1.9
200407,59.8,2.4
200408,60.7,2.4
200409,57.6,0.7
200410,54.5,0.5
200411,48.5,-1.7
200412,48.0,0.9
200501,47.2,-0.5
200502,49.8,1.7
200503,51.5,2.5
200504,51.2,0.7
200505,56.8,3.3
200506,57.0,1.3
200507,58.3,0.9
200508,56.5,-1.8
200509,54.6,-2.3
200510,53.3,-0.7
200511,49.2,-1.0
200512,50.0,2.9
200601,48.7,1.0
200602,47.2,-0.9
200603,46.9,-2.1
200604,50.5,0.0
200605,53.7,0.2
200606,57.6,1.9
200607,58.0,0.6
200608,56.4,-1.9
200609,54.8,-2.1
200610,52.0,-2.0
200611,51.5,1.3
200612,47.6,0.5
200701,42.5,-5.2
200702,47.8,-0.3
200703,50.0,1.0
200704,50.3,-0.2
200705,52.3,-1.2
200706,55.8,0.1
200707,60.9,3.5
200708,59.2,0.9
200709,56.6,-0.3
200710,53.4,-0.6
200711,49.8,-0.4
200712,44.4,-2.7
200801,44.5,-3.2
200802,45.4,-2.7
200803,46.9,-2.1
200804,47.6,-2.9
200805,53.2,-0.3
200806,53.3,-2.4
200807,56.4,-1.0
200808,58.3,0.0
200809,54.7,-2.2
200810,53.6,-0.4
200811,52.5,2.3
200812,44.8,-2.3
200901,46.3,-1.4
200902,47.8,-0.3
200903,47.5,-1.5
200904,49.3,-1.2
200905,53.0,-0.5
200906,56.8,1.1
200907,56.3,-1.1
200908,58.6,0.3
200909,59.1,2.2
200910,54.1,0.1
200911,49.6,-0.6
200912,46.1,-1.0
201001,51.1,3.4
201002,50.4,2.3
201003,48.5,-0.5
201004,49.1,-1.4
201005,51.5,-2.0
201006,55.7,0.0
201007,54.8,-2.6
201008,56.2,-2.1
201009,56.9,0.0
201010,54.9,0.9
201011,48.4,-1.8
201012,49.2,2.1
201101,48.0,0.3
201102,44.6,-3.5
201103,49.0,0.0
201104,48.1,-2.4
201105,51.0,-2.5
201106,55.3,-0.4
201107,57.1,-0.3
201108,57.6,-0.7
201109,56.5,-0.4
201110,55.0,1.0
201111,48.4,-1.8
201112,44.1,-3.0
201201,46.1,-1.6
201202,47.2,-0.9
201203,46.5,-2.5
201204,49.8,-0.7
201205,51.4,-2.1
201206,54.3,-1.4
201207,56.8,-0.6
201208,56.3,-2.0
201209,53.2,-3.7
201210,54.7,0.7
201211,52.9,2.7
201212,45.6,-1.5
201301,43.6,-4.1
201302,44.6,-3.5
201303,47.2,-1.8
201304,50.0,-0.5
201305,53.8,0.3
201306,56.9,1.2
201307,56.0,-1.4
201308,59.3,1.0
201309,59.8,2.9
201310,50.4,-3.6
201311,49.0,-1.2
201312,42.0,-5.1
201401,47.2,-0.5
201402,49.4,1.3
201403,51.1,2.1
201404,51.7,1.2
201405,56.2,2.7
201406,55.9,0.2
201407,58.3,0.9
201408,58.7,0.4
201409,59.1,2.2
201410,58.6,4.6
201411,53.8,3.6
201412,52.4,5.3
201501,50.7,3.0
201502,52.3,4.2
201503,51.6,2.6
201504,50.1,-0.4
201505,53.0,-0.5
201506,56.3,0.6
201507,60.6,3.2
201508,61.1,2.8
201509,57.6,0.7
201510,57.8,3.8
201511,49.3,-0.9
201512,48.3,1.2
201601,50.4,2.7
201602,50.6,2.5
201603,51.7,2.7
201604,54.0,3.5
201605,54.8,1.3
201606,56.9,1.2
201607,57.7,0.3
201608,56.5,-1.8
201609,56.5,-0.4
201610,56.7,2.7
201611,53.8,3.6
201612,44.5,-2.6
201701,44.6,-3.1
201702,49.1,1.0
201703,50.5,1.5
201704,51.6,1.1
201705,52.9,-0.6
201706,56.6,0.9
201707,57.3,-0.1
201708,58.7,0.4
201709,59.8,2.9
201710,52.7,-1.3
201711,52.4,2.2
201712,46.8,-0.3
201801,49.3,1.6
201802,45.4,-2.7
201803,47.9,-1.1
201804,50.9,0.4
201805,53.7,0.2
201806,55.5,-0.2
201807,57.0,-0.4
201808,58.1,-0.2
201809,56.2,-0.7
201810,53.6,-0.4
201811,50.2,0.0
201812,48.1,1.0
201901,49.0,1.3
201902,43.8,-4.3
201903,48.3,-0.7
201904,52.8,2.3
201905,53.1,-0.4
201906,55.5,-0.2
201907,60.0,2.6
201908,61.5,3.2
201909,60.2,3.3
201910,52.4,-1.6
201911,48.1,-2.1
201912,49.3,2.2
202001,48.4,0.7
202002,45.9,-2.2
202003,46.8,-2.2
202004,51.5,1.0
202005,55.3,1.8
202006,56.9,1.2
202007,56.8,-0.6
202008,59.5,1.2
202009,60.7,3.8
202010,54.7,0.7
202011,48.9,-1.3
202012,47.4,0.3
202101,48.3,0.6
202102,46.6,-1.5
202103,46.6,-2.4
202104,49.2,-1.3
202105,52.1,-1.4
202106,57.0,1.3
202107,56.6,-0.8
202108,57.6,-0.7
202109,56.2,-0.7
202110,54.0,0.0
202111,51.9,1.7
202112,46.2,-0.9
202201,47.5,-0.2
202202,46.9,-1.2
202203,49.0,0.0
202204,48.6,-1.9
202205,52.7,-0.8
202206,57.5,1.8
202207,58.5,1.1
202208,60.2,1.9
202209,58.8,1.9
202210,53.9,-0.1
202211,46.9,-3.3
202212,46.1,-1.0
202301,47.7,0.0
