Los Angeles, California, Average Temperature
198709,68.3,-1.0
198710,67.6,1.2
198711,60.5,-1.1
198712,52.5,-4.5
198801,55.3,-1.9
198802,59.2,1.9
198803,61.1,2.6
198804,59.9,-0.5
198805,61.6,-1.3
198806,62.3,-3.4
198807,67.8,-1.0
198808,66.9,-3.0
198809,66.3,-3.0
198810,64.7,-1.7
198811,58.7,-2.9
198812,55.1,-1.9
198901,54.0,-3.2
198902,53.5,-3.8
198903,57.5,-1.0
198904,63.4,3.0
198905,61.1,-1.8
198906,63.8,-1.9
198907,68.0,-0.8
198908,66.3,-3.6
198909,66.9,-2.4
198910,64.5,-1.9
198911,63.8,2.2
198912,59.1,2.1
199001,55.7,-1.5
199002,53.6,-3.7
199003,56.2,-2.3
199004,61.1,0.7
199005,61.3,-1.6
199006,66.1,0.4
199007,70.0,1.2
199008,68.3,-1.6
199009,69.6,0.3
199010,68.2,1.8
199011,62.8,1.2
199012,55.4,-1.6
199101,55.8,-1.4
199102,58.5,1.2
199103,53.6,-4.9
199104,59.6,-0.8
199105,59.0,-3.9
199106,62.5,-3.2
199107,65.7,-3.1
199108,67.6,-2.3
199109,66.4,-2.9
199110,65.9,-0.5
199111,62.0,0.4
199112,57.3,0.3
199201,57.0,-0.2
199202,59.4,2.1
199203,57.8,-0.7
199204,64.3,3.9
199205,64.7,1.8
199206,64.6,-1.1
199207,70.1,1.3
199208,72.2,2.3
199209,69.4,0.1
199210,65.6,-0.8
199211,62.3,0.7
199212,54.5,-2.5
199301,54.8,-2.4
199302,55.7,-1.6
199303,59.1,0.6
199304,61.4,1.0
199305,63.8,0.9
199306,66.9,1.2
199307,68.2,-0.6
199308,68.1,-1.8
199309,67.7,-1.6
199310,67.0,0.6
199311,62.2,0.6
199312,57.1,0.1
199401,57.8,0.6
199402,55.7,-1.6
199403,59.3,0.8
199404,58.8,-1.6
199405,60.6,-2.3
199406,66.9,1.2
199407,66.5,-2.3
199408,73.3,3.4
199409,69.3,0.0
199410,65.5,-0.9
199411,56.5,-5.1
199412,56.2,-0.8
199501,55.5,-1.7
199502,60.3,3.0
199503,58.7,0.2
199504,59.2,-1.2
199505,59.0,-3.9
199506,63.0,-2.7
199507,66.9,-1.9
199508,67.6,-2.3
199509,69.3,0.0
199510,66.0,-0.4
199511,61.5,-0.1
199512,57.5,0.5
199601,56.8,-0.4
199602,56.9,-0.4
199603,58.7,0.2
199604,62.8,2.4
199605,64.5,1.6
199606,65.9,0.2
199607,68.1,-0.7
199608,71.9,2.0
199609,67.7,-1.6
199610,62.5,-3.9
199611,60.7,-0.9
199612,56.8,-0.2
199701,55.9,-1.3
199702,57.3,0.0
199703,59.8,1.3
199704,60.3,-0.1
199705,67.2,4.3
199706,67.3,1.6
199707,68.0,-0.8
199708,70.8,0.9
199709,73.3,4.0
199710,67.1,0.7
199711,62.4,0.8
199712,56.5,-0.5
199801,56.2,-1.0
199802,55.4,-1.9
199803,58.5,0.0
199804,57.4,-3.0
199805,60.3,-2.6
199806,63.6,-2.1
199807,68.6,-0.2
199808,71.2,1.3
199809,68.6,-0.7
199810,64.3,-2.1
199811,59.1,-2.5
199812,55.5,-1.5
199901,56.4,-0.8
199902,55.8,-1.5
199903,54.0,-4.5
199904,56.2,-4.2
199905,60.3,-2.6
199906,62.7,-3.0
199907,67.7,-1.1
199908,68.1,-1.8
199909,67.1,-2.2
199910,67.5,1.1
199911,59.9,-1.7
199912,58.6,1.6
200001,57.8,0.6
200002,57.1,-0.2
200003,57.3,-1.2
200004,60.4,0.0
200005,63.7,0.8
200006,67.4,1.7
200007,68.0,-0.8
200008,70.1,0.2
200009,69.0,-0.3
200010,63.0,-3.4
200011,57.5,-4.1
200012,57.8,0.8
200101,54.3,-2.9
200102,53.5,-3.8
200103,57.2,-1.3
200104,56.5,-3.9
200105,63.3,0.4
200106,66.8,1.1
200107,67.2,-1.6
200108,67.8,-2.1
200109,67.2,-2.1
200110,64.6,-1.8
200111,60.0,-1.6
200112,55.0,-2.0
200201,54.8,-2.4
200202,58.3,1.0
200203,57.4,-1.1
200204,58.3,-2.1
200205,61.2,-1.7
200206,65.1,-0.6
200207,67.8,-1.0
200208,67.0,-2.9
200209,67.0,-2.3
200210,62.2,-4.2
200211,63.1,1.5
200212,55.7,-1.3
200301,61.5,4.3
200302,57.4,0.1
200303,58.6,0.1
200304,57.7,-2.7
200305,60.5,-2.4
200306,64.5,-1.2
200307,70.9,2.1
200308,70.4,0.5
200309,67.2,-2.1
200310,66.8,0.4
200311,59.0,-2.6
200312,56.1,-0.9
200401,56.2,-1.0
200402,55.0,-2.3
200403,60.4,1.9
200404,61.5,1.1
200405,66.1,3.2
200406,66.2,0.5
200407,68.7,-0.1
200408,68.7,-1.2
200409,71.9,2.6
200410,63.0,-3.4
200411,58.3,-3.3
200412,56.7,-0.3
200501,56.8,-0.4
200502,57.5,0.2
200503,58.0,-0.5
200504,59.3,-1.1
200505,63.3,0.4
200506,64.3,-1.4
200507,68.0,-0.8
200508,69.0,-0.9
200509,66.9,-2.4
200510,64.4,-2.0
200511,63.2,1.6
200512,58.4,1.4
200601,57.5,0.3
200602,58.4,1.1
200603,54.1,-4.4
200604,58.8,-1.6
200605,63.8,0.9
200606,69.0,3.3
200607,74.0,5.2
200608,70.5,0.6
200609,68.6,-0.7
200610,65.6,-0.8
200611,63.3,1.7
200612,57.1,0.1
200701,54.2,-3.0
200702,57.3,0.0
200703,59.7,1.2
200704,59.8,-0.6
200705,61.8,-1.1
200706,64.5,-1.2
200707,69.7,0.9
200708,71.1,1.2
200709,68.1,-1.2
200710,66.0,-0.4
200711,61.2,-0.4
200712,55.6,-1.4
200801,55.6,-1.6
200802,56.5,-0.8
200803,59.8,1.3
200804,62.4,2.0
200805,63.8,0.9
200806,68.2,2.5
200807,69.6,0.8
200808,69.7,-0.2
200809,68.4,-0.9
200810,68.6,2.2
200811,63.8,2.2
200812,54.6,-2.4
200901,59.8,2.6
200902,56.0,-1.3
200903,57.5,-1.0
200904,59.9,-0.5
200905,63.6,0.7
200906,64.7,-1.0
200907,68.2,-0.6
200908,68.6,-1.3
200909,69.7,0.4
200910,64.8,-1.6
200911,61.3,-0.3
200912,56.0,-1.0
201001,58.2,1.0
201002,57.3,0.0
201003,59.6,1.1
201004,58.2,-2.2
201005,60.7,-2.2
201006,64.4,-1.3
201007,65.5,-3.3
201008,65.6,-4.3
201009,66.6,-2.7
201010,65.3,-1.1
201011,61.2,-0.4
201012,57.9,0.9
201101,58.9,1.7
201102,55.1,-2.2
201103,57.7,-0.8
201104,61.5,1.1
201105,62.2,-0.7
201106,63.5,-2.2
201107,68.1,-0.7
201108,67.4,-2.5
201109,66.7,-2.6
201110,64.2,-2.2
201111,58.9,-2.7
201112,54.8,-2.2
201201,59.1,1.9
201202,56.8,-0.5
201203,56.9,-1.6
201204,59.5,-0.9
201205,62.8,-0.1
201206,65.1,-0.6
201207,66.4,-2.4
201208,72.0,2.1
201209,72.0,2.7
201210,68.8,2.4
201211,62.4,0.8
201212,56.3,-0.7
201301,56.2,-1.0
201302,55.9,-1.4
201303,58.9,0.4
201304,61.9,1.5
201305,66.3,3.4
201306,67.7,2.0
201307,68.7,-0.1
201308,68.4,-1.5
201309,69.9,0.6
201310,65.5,-0.9
201311,63.8,2.2
201312,58.8,1.8
201401,61.1,3.9
201402,59.5,2.2
201403,62.1,3.6
201404,62.4,2.0
201405,68.7,5.8
201406,67.4,1.7
201407,71.6,2.8
201408,71.0,1.1
201409,72.8,3.5
201410,69.7,3.3
201411,64.7,3.1
201412,57.9,0.9
201501,59.6,2.4
201502,60.8,3.5
201503,64.2,5.7
201504,62.0,1.6
201505,60.8,-2.1
201506,66.1,0.4
201507,70.1,1.3
201508,72.5,2.6
201509,74.9,5.6
201510,73.7,7.3
201511,62.0,0.4
201512,57.1,0.1
201601,56.7,-0.5
201602,62.8,5.5
201603,60.2,1.7
201604,63.3,2.9
201605,62.5,-0.4
201606,66.6,0.9
201607,71.4,2.6
201608,70.3,0.4
201609,70.8,1.5
201610,68.0,1.6
201611,64.6,3.0
201612,57.9,0.9
201701,55.5,-1.7
201702,56.9,-0.4
201703,60.8,2.3
201704,63.4,3.0
201705,63.0,0.1
201706,66.5,0.8
201707,71.0,2.2
201708,71.3,1.4
201709,70.8,1.5
201710,70.8,4.4
201711,64.8,3.2
201712,60.7,3.7
201801,61.2,4.0
201802,57.7,0.4
201803,58.0,-0.5
201804,61.3,0.9
201805,62.2,-0.7
201806,66.4,0.7
201807,73.8,5.0
201808,74.1,4.2
201809,69.4,0.1
201810,68.0,1.6
201811,64.3,2.7
201812,58.0,1.0
201901,56.8,-0.4
201902,52.9,-4.4
201903,58.8,0.3
201904,62.0,1.6
201905,61.4,-1.5
201906,65.8,0.1
201907,68.7,-0.1
201908,69.8,-0.1
201909,72.7,3.4
201910,69.4,3.0
201911,62.9,1.3
201912,58.1,1.1
202001,58.8,1.6
202002,60.4,3.1
202003,59.2,0.7
202004,62.9,2.5
202005,66.1,3.2
202006,67.4,1.7
202007,67.7,-1.1
202008,71.5,1.6
202009,70.8,1.5
202010,69.6,3.2
202011,60.3,-1.3
202012,58.6,1.6
202101,57.6,0.4
202102,57.8,0.5
202103,56.6,-1.9
202104,60.9,0.5
202105,62.3,-0.6
202106,65.6,-0.1
202107,68.8,0.0
202108,69.7,-0.2
202109,68.4,-0.9
202110,65.7,-0.7
202111,63.7,2.1
202112,55.3,-1.7
202201,59.3,2.1
202202,59.9,2.6
202203,60.9,2.4
202204,63.1,2.7
202205,63.7,0.8
202206,68.0,2.3
202207,69.6,0.8
202208,72.2,2.3
202209,76.0,6.7
202210,68.5,2.1
202211,60.1,-1.5
202212,56.8,-0.2
202301,55.0,-2.2
